extraction_ID,collection_year,project,sample_type,extraction_plate,extraction_well,sample_ID,sample_replicate,sample_ID_date,seq_date,amplicon,pcr_personnel,pcr_mastermix,amplicon_pcr_dilutution,normalization,bead_size_selection
e00646,2021,NBS,sample,1_2022,D05,e00646_A,A,e00646_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00647,2021,NBS,sample,1_2022,E05,e00647_A,A,e00647_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00648,2021,NBS,field_blank,1_2022,F05,e00648_A,A,e00648_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00649,2021,NBS,sample,1_2022,G05,e00649_A,A,e00649_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00650,2021,NBS,sample,1_2022,H05,e00650_A,A,e00650_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00651,2021,NBS,sample,1_2022,A06,e00651_A,A,e00651_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00652,2021,NBS,field_blank,1_2022,B06,e00652_A,A,e00652_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00653,2021,NBS,sample,1_2022,C06,e00653_A,A,e00653_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00654,2021,NBS,sample,1_2022,D06,e00654_A,A,e00654_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00655,2021,NBS,sample,1_2022,E06,e00655_A,A,e00655_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00656,2021,NBS,field_blank,1_2022,F06,e00656_A,A,e00656_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00657,2021,NBS,sample,1_2022,G06,e00657_A,A,e00657_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00658,2021,NBS,extraction_blank,1_2022,H06,e00658_A,A,e00658_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00659,2021,NBS,sample,1_2022,A07,e00659_A,A,e00659_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00660,2021,NBS,sample,1_2022,B07,e00660_A,A,e00660_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00661,2021,NBS,field_blank,1_2022,C07,e00661_A,A,e00661_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00662,2021,NBS,sample,1_2022,D07,e00662_A,A,e00662_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00663,2021,NBS,sample,1_2022,E07,e00663_A,A,e00663_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00664,2021,NBS,sample,1_2022,F07,e00664_A,A,e00664_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00665,2021,NBS,field_blank,1_2022,G07,e00665_A,A,e00665_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00666,2021,NBS,sample,1_2022,H07,e00666_A,A,e00666_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00667,2021,NBS,sample,1_2022,A08,e00667_A,A,e00667_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00668,2021,NBS,sample,1_2022,B08,e00668_A,A,e00668_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00669,2021,NBS,field_blank,1_2022,C08,e00669_A,A,e00669_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00670,2021,NBS,sample,1_2022,D08,e00670_A,A,e00670_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00671,2021,NBS,sample,1_2022,E08,e00671_A,A,e00671_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00672,2021,NBS,sample,1_2022,F08,e00672_A,A,e00672_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00673,2021,NBS,field_blank,1_2022,G08,e00673_A,A,e00673_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00674,2021,NBS,sample,1_2022,H08,e00674_A,A,e00674_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00675,2021,NBS,sample,1_2022,A09,e00675_A,A,e00675_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00676,2021,NBS,sample,1_2022,B09,e00676_A,A,e00676_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00677,2021,NBS,field_blank,1_2022,C09,e00677_A,A,e00677_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00678,2021,NBS,sample,1_2022,D09,e00678_A,A,e00678_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00679,2021,NBS,sample,1_2022,E09,e00679_A,A,e00679_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00680,2021,NBS,sample,1_2022,F09,e00680_A,A,e00680_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00681,2021,NBS,sample,1_2022,G09,e00681_A,A,e00681_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00682,2021,NBS,sample,1_2022,H09,e00682_A,A,e00682_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00683,2021,NBS,sample,1_2022,A10,e00683_A,A,e00683_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
PC1,2021,NBS,positive,NA,NA,PC1_A,A,PC1_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,yes,yes,1st: 1.8x left
NC1,2021,NBS,pcr_blank,NA,NA,NC1_A,A,NC1_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00611,2021,NBS,sample,1_2022,A01,e00611_B,B,e00611_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00612,2021,NBS,sample,1_2022,B01,e00612_B,B,e00612_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00613,2021,NBS,sample,1_2022,C01,e00613_B,B,e00613_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00614,2021,NBS,sample,1_2022,D01,e00614_B,B,e00614_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00615,2021,NBS,sample,1_2022,E01,e00615_B,B,e00615_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00616,2021,NBS,sample,1_2022,F01,e00616_B,B,e00616_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00617,2021,NBS,sample,1_2022,G01,e00617_B,B,e00617_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00618,2021,NBS,sample,1_2022,H01,e00618_B,B,e00618_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00619,2021,NBS,sample,1_2022,A02,e00619_B,B,e00619_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00620,2021,NBS,field_blank,1_2022,B02,e00620_B,B,e00620_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00621,2021,NBS,sample,1_2022,C02,e00621_B,B,e00621_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00622,2021,NBS,sample,1_2022,D02,e00622_B,B,e00622_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00623,2021,NBS,sample,1_2022,E02,e00623_B,B,e00623_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00624,2021,NBS,field_blank,1_2022,F02,e00624_B,B,e00624_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00625,2021,NBS,extraction_blank,1_2022,G02,e00625_B,B,e00625_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00626,2021,NBS,sample,1_2022,H02,e00626_B,B,e00626_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00627,2021,NBS,sample,1_2022,A03,e00627_B,B,e00627_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00628,2021,NBS,field_blank,1_2022,B03,e00628_B,B,e00628_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00629,2021,NBS,field_blank,1_2022,C03,e00629_B,B,e00629_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00630,2021,NBS,sample,1_2022,D03,e00630_B,B,e00630_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00631,2021,NBS,sample,1_2022,E03,e00631_B,B,e00631_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00632,2021,NBS,sample,1_2022,F03,e00632_B,B,e00632_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00633,2021,NBS,field_blank,1_2022,G03,e00633_B,B,e00633_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00634,2021,NBS,sample,1_2022,H03,e00634_B,B,e00634_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00635,2021,NBS,sample,1_2022,A04,e00635_B,B,e00635_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00636,2021,NBS,sample,1_2022,B04,e00636_B,B,e00636_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00637,2021,NBS,field_blank,1_2022,C04,e00637_B,B,e00637_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00638,2021,NBS,sample,1_2022,D04,e00638_B,B,e00638_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00639,2021,NBS,sample,1_2022,E04,e00639_B,B,e00639_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00640,2021,NBS,sample,1_2022,F04,e00640_B,B,e00640_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00641,2021,NBS,sample,1_2022,G04,e00641_B,B,e00641_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00642,2021,NBS,sample,1_2022,H04,e00642_B,B,e00642_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00643,2021,NBS,sample,1_2022,A05,e00643_B,B,e00643_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00644,2021,NBS,field_blank,1_2022,B05,e00644_B,B,e00644_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00645,2021,NBS,sample,1_2022,C05,e00645_B,B,e00645_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00646,2021,NBS,sample,1_2022,D05,e00646_B,B,e00646_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00647,2021,NBS,sample,1_2022,E05,e00647_B,B,e00647_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00648,2021,NBS,field_blank,1_2022,F05,e00648_B,B,e00648_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00649,2021,NBS,sample,1_2022,G05,e00649_B,B,e00649_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00650,2021,NBS,sample,1_2022,H05,e00650_B,B,e00650_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00651,2021,NBS,sample,1_2022,A06,e00651_B,B,e00651_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00652,2021,NBS,field_blank,1_2022,B06,e00652_B,B,e00652_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00653,2021,NBS,sample,1_2022,C06,e00653_B,B,e00653_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00654,2021,NBS,sample,1_2022,D06,e00654_B,B,e00654_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00655,2021,NBS,sample,1_2022,E06,e00655_B,B,e00655_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00656,2021,NBS,field_blank,1_2022,F06,e00656_B,B,e00656_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00657,2021,NBS,sample,1_2022,G06,e00657_B,B,e00657_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00658,2021,NBS,extraction_blank,1_2022,H06,e00658_B,B,e00658_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00659,2021,NBS,sample,1_2022,A07,e00659_B,B,e00659_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00660,2021,NBS,sample,1_2022,B07,e00660_B,B,e00660_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00661,2021,NBS,field_blank,1_2022,C07,e00661_B,B,e00661_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00662,2021,NBS,sample,1_2022,D07,e00662_B,B,e00662_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00663,2021,NBS,sample,1_2022,E07,e00663_B,B,e00663_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00664,2021,NBS,sample,1_2022,F07,e00664_B,B,e00664_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00665,2021,NBS,field_blank,1_2022,G07,e00665_B,B,e00665_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00666,2021,NBS,sample,1_2022,H07,e00666_B,B,e00666_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00667,2021,NBS,sample,1_2022,A08,e00667_B,B,e00667_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00668,2021,NBS,sample,1_2022,B08,e00668_B,B,e00668_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00669,2021,NBS,field_blank,1_2022,C08,e00669_B,B,e00669_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00670,2021,NBS,sample,1_2022,D08,e00670_B,B,e00670_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00671,2021,NBS,sample,1_2022,E08,e00671_B,B,e00671_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00672,2021,NBS,sample,1_2022,F08,e00672_B,B,e00672_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00673,2021,NBS,field_blank,1_2022,G08,e00673_B,B,e00673_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00674,2021,NBS,sample,1_2022,H08,e00674_B,B,e00674_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00675,2021,NBS,sample,1_2022,A09,e00675_B,B,e00675_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00676,2021,NBS,sample,1_2022,B09,e00676_B,B,e00676_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00677,2021,NBS,field_blank,1_2022,C09,e00677_B,B,e00677_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00678,2021,NBS,sample,1_2022,D09,e00678_B,B,e00678_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00679,2021,NBS,sample,1_2022,E09,e00679_B,B,e00679_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00680,2021,NBS,sample,1_2022,F09,e00680_B,B,e00680_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00681,2021,NBS,sample,1_2022,G09,e00681_B,B,e00681_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00682,2021,NBS,sample,1_2022,H09,e00682_B,B,e00682_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00683,2021,NBS,sample,1_2022,A10,e00683_B,B,e00683_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
PC1,2021,NBS,positive,NA,NA,PC1_B,B,PC1_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,yes,yes,1st: 1.8x left
NC1,2021,NBS,pcr_blank,NA,NA,NC1_B,B,NC1_B_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00611,2021,NBS,sample,1_2022,A01,e00611_C,C,e00611_C_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00612,2021,NBS,sample,1_2022,B01,e00612_C,C,e00612_C_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
