AlternateID,CommonName,Phylum,Class,Order,Family,Genus,SpeciesName,Collector,CollectionDate,collection_year,CruiseID,Event ID,Haul,Station,Equipment_Gear,Locality,StartLatitude_N,StartLongitude_W
Norton10_277,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,53,Bottom Trawl,eastern Bering Sea,63.51,-163.18
Norton10_278,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,53,Bottom Trawl,eastern Bering Sea,63.51,-163.18
Norton10_279,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,53,Bottom Trawl,eastern Bering Sea,63.51,-163.18
Norton10_280,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,53,Bottom Trawl,eastern Bering Sea,63.51,-163.18
Norton10_281,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_282,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_283,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_284,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_285,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_286,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_287,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_288,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_289,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_290,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_291,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
