extraction_ID,Sample_Name,Collection_Date_local,Collection_Time_local,Cast_No.,Rosette_position,Station,Depth_m,Lat_dec,Lon_dec,temperature_ch1,temperature_ch2,salinity_ch1,salinity_ch2
e04191,E1968.SKQ23,9/24/2023,22:50,49,1,DBO4.6n,36.2,71.85005,-162.1568333,-0.6502,-0.6489,32.6461,32.6573
e04192,E1969.SKQ23,9/24/2023,22:52,49,5,DBO4.6n,30.7,71.85005,-162.1568333,-0.6909,-0.6904,32.6372,32.6486
e04193,E1970.SKQ23,9/24/2023,22:59,49,13,DBO4.6n,10.3,71.85005,-162.1568333,1.8111,1.813,28.4402,28.444
e04194,E1971.SKQ23,9/25/2023,8:06,50,1,IC11,34.2,70.57966667,-162.4907667,5.9774,5.9785,30.9883,30.9996
e04195,E1972.SKQ23,9/25/2023,8:11,50,10,IC11,10.3,70.57966667,-162.4907667,6.5739,6.5756,28.5659,28.5777
e04196,E1973.SKQ23,9/26/2023,11:09,51,1,IC10,37.2,70.7172,-162.8565,5.3525,5.3534,31.4655,31.4765
e04197,E1974.SKQ23,9/26/2023,11:17,51,14,IC10,10.4,70.7172,-162.8565,6.4743,6.4725,28.6433,28.6524
e04198,E1975.SKQ23,9/26/2023,15:42,53,1,IC09,39.2,70.849,-163.1872,4.4014,4.4014,31.7878,31.7985
e04199,E1976.SKQ23,9/26/2023,15:51,53,14,IC09,10.1,70.849,-163.1872,5.8418,5.8456,30.3253,30.3506
e04200,E1977.SKQ23,9/26/2023,18:33,54,1,IC08,40.2,70.9725,-163.5642,1.6897,1.6902,32.0905,32.1022
e04201,E1978.SKQ23,9/26/2023,18:35,54,6,IC08,30.5,70.9725,-163.5642,1.7438,1.7401,32.0852,32.0974
e04202,E1979.SKQ23,9/26/2023,18:42,54,13,IC08,10.5,70.9725,-163.5642,4.6704,4.6728,30.4675,30.4778
e04203,E1980.SKQ23,9/26/2023,20:02,55,1,IC07,38.2,71.0847,-163.8018,0.6689,0.6725,32.188,32.1988
e04204,E1981.SKQ23,9/26/2023,20:11,55,13,IC07,10.3,71.0847,-163.8018,3.7699,3.77,30.8767,30.8868
e04205,E1982.SKQ23,9/26/2023,22:49,56,1,IC06,39.1,71.195,-164.2018,-0.8807,-0.8798,32.3555,32.3676
e04206,E1983.SKQ23,9/26/2023,22:58,56,13,IC06,10.5,71.195,-164.2018,4.4121,4.4019,31.1235,31.1338
e04207,E1984.SKQ23,9/27/2023,0:35,57,1,IC05,39,71.3367,-164.6127,-1.2697,-1.2684,32.4554,32.4667
e04208,E1985.SKQ23,9/27/2023,0:43,57,13,IC05,10.3,71.3367,-164.6127,2.8669,2.8689,30.6361,30.6469
e04209,E1986.SKQ23,9/27/2023,3:45,58,1,IC04,37.1,71.4485,-164.919,-1.0908,-1.0879,32.4984,32.5098
e04210,E1987.SKQ23,9/27/2023,3:52,58,12,IC04,10.3,71.4485,-164.919,2.7898,2.7915,30.5598,30.5703
e04211,E1988.SKQ23,9/27/2023,14:18,61,1,IC03,37.2,71.60053333,-165.3038167,-1.0641,-1.0643,32.4848,32.4971
e04212,E1989.SKQ23,9/27/2023,14:28,60,13,IC03,10.2,71.60053333,-165.3038167,2.7292,2.7348,30.4845,30.4961
e04213,E1990.SKQ23,9/27/2023,17:32,62,1,IC02,36.2,71.7052,-165.6028,NA,NA,NA,NA
e04214,E1991.SKQ23,9/27/2023,17:41,62,14,IC02,10.2,71.7052,-165.6028,NA,NA,NA,NA
e04215,E1992.SKQ23,9/27/2023,22:24,63,1,IC01,39.2,71.8302,-165.9698,-0.737,-0.7336,32.4173,32.4262
e04216,E1993.SKQ23,9/27/2023,22:35,63,14,IC01,10.5,71.8302,-165.9698,2.8271,2.8279,30.2878,30.2957
e04217,E1994.SKQ23,9/29/2023,13:49,68,1,DBO3.8,45.4,67.67653333,-168.948,2.9161,2.9171,32.4227,32.4342
e04218,E1995.SKQ23,9/29/2023,13:55,68,8,DBO3.8,30.4,67.67653333,-168.948,2.4384,2.4394,30.0769,30.0886
e04219,E1996.SKQ23,9/29/2023,14:01,68,17,DBO3.8,10.1,67.67653333,-168.948,3.3613,3.3591,27.1807,27.1928
e04220,E1997.SKQ23,9/29/2023,17:31,69,1,DBO3.7,45.3,67.78333333,-168.596,3.2853,3.2866,32.533,32.5439
e04221,E1998.SKQ23,9/29/2023,17:35,69,8,DBO3.7,30.5,67.78333333,-168.596,5.5012,5.4571,30.8771,30.8721
e04222,E1999.SKQ23,9/29/2023,17:41,69,15,DBO3.7,10.2,67.78333333,-168.596,2.7961,2.8085,28.219,28.1991
e04223,E2000.SKQ23,9/29/2023,20:27,70,1,DBO3.6,53.5,67.8975,-168.234,2.9507,2.9514,32.4287,32.44
e04224,E2001.SKQ23,9/29/2023,20:33,70,10,DBO3.6,30.3,67.8975,-168.234,3.0242,3.0241,32.3564,32.2265
e04225,E2002.SKQ23,9/29/2023,20:37,70,18,DBO3.6,10.3,67.8975,-168.234,3.7349,3.7356,28.266,28.1411
e04226,E2003.SKQ23,10/1/2023,7:45,71,1,DBO3.4,44.1,67.1329,-167.4869667,3.5682,3.5695,32.0207,32.0321
e04227,E2004.SKQ23,10/1/2023,7:48,71,6,DBO3.4,30.2,67.1329,-167.4869667,3.6219,3.6223,32.014,32.0254
e04228,E2005.SKQ23,10/1/2023,7:53,71,14,DBO3.4,10.5,67.1329,-167.4869667,3.8921,4.0381,32.0011,31.9579
e04229,E2006.SKQ23,10/1/2023,10:55,72,1,DBO3.5,47.4,67.013,-167.875,3.0023,3.0035,32.2774,32.288
e04230,E2007.SKQ23,10/1/2023,11:00,72,9,DBO3.5,30.1,67.013,-167.875,2.8937,2.8944,32.1983,32.209
e04231,E2008.SKQ23,10/1/2023,11:04,72,15,DBO3.5,10.4,67.013,-167.875,4.8234,4.832,29.779,29.8519
e04232,E2009.SKQ23,10/1/2023,19:48,74,1,DBO3..3,42.1,68.18673333,-167.2949667,3.3252,3.3363,32.0532,32.0639
e04233,E2010.SKQ23,10/1/2023,19:51,74,6,DBO3..3,30.6,68.18673333,-167.2949667,4.7208,4.7265,31.8812,31.8941
e04234,E2011.SKQ23,10/1/2023,19:58,74,13,DBO3..3,10.3,68.18673333,-167.2949667,6.2002,6.1983,29.6246,29.6079
e04235,E2012.SKQ23,10/1/2023,21:47,75,1,DBO3..2,38.2,68.24683333,-167.122,4.4659,4.461,31.896,31.9082
e04236,E2013.SKQ23,10/1/2023,21:56,75,12,DBO3..2,10,68.24683333,-167.122,7.4919,7.4898,29.1797,29.1952
e04237,E2014.SKQ23,10/2/2023,0:23,76,1,DBO3.1,29.9,68.30416667,-166.924,4.8378,4.839,31.8195,31.8304
e04238,E2015.SKQ23,10/2/2023,0:29,76,8,DBO3.1,10.4,68.30416667,-166.924,6.7612,6.7694,26.0547,26.1113
e04239,E2016.SKQ23,10/2/2023,20:44,77,1,BS8,43.3,65.78238333,-168.8396833,3.0691,3.07,32.9106,32.922
e04240,E2017.SKQ23,10/2/2023,20:47,77,7,BS8,30.7,65.78238333,-168.8396833,3.0606,3.0615,32.9077,32.919
e04241,E2018.SKQ23,10/2/2023,20:54,77,14,BS8,10.1,65.78238333,-168.8396833,3.7,3.6991,32.2129,32.2245
e04242,E2019.SKQ23,10/2/2023,23:12,79,1,BS6,46.3,65.7375,-168.65,2.857,2.8581,32.5888,32.8139
e04243,E2020.SKQ23,10/2/2023,23:15,79,7,BS6,30.3,65.7375,-168.65,2.8254,2.8268,32.5676,32.7151
e04244,E2021.SKQ23,10/2/2023,23:20,79,13,BS6,10.3,65.7375,-168.65,5.7088,5.7069,31.0472,31.2023
e04245,E2022.SKQ23,10/3/2023,1:55,82,1,BS3,47.8,65.66991667,-168.3679,3.0235,3.0246,32.8615,32.872
e04246,E2023.SKQ23,10/3/2023,1:59,82,9,BS3,30.4,65.66991667,-168.3679,3.0125,3.0136,32.8542,32.8645
e04247,E2024.SKQ23,10/3/2023,2:03,82,15,BS3,10.6,65.66991667,-168.3679,6.1553,6.1407,28.4055,28.3444
e04248,E2025.SKQ23,10/3/2023,4:02,84,1,BS1,23.8,65.61833333,-168.1528333,3.5501,3.549,32.4632,32.4737
e04249,E2026.SKQ23,10/3/2023,4:06,84,9,BS1,10.6,65.61833333,-168.1528333,5.2564,5.249,31.8791,31.8886
e04251,E2028.NC.SKQ23,10/2/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
